period,year_label,activity,total_pct,male_pct,female_pct,age_15_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65plus,rank,gender_gap,male_dominant
Jan–Dec 2025,2025,Walking (Recreational),50.204,42.494,57.753,30.348,34.194,41.86,47.548,58.668,66.032,55.822,1,-15.259,False
Jan–Dec 2025,2025,Pilates,7.181,1.207,12.993,3.749,8.757,11.019,8.713,7.13,6.259,3.191,7,-11.786,False
Jan–Dec 2025,2025,Yoga,5.072,1.59,8.466,2.598,3.606,6.426,6.284,6.106,5.569,3.165,9,-6.8759999999999994,False
Jan–Dec 2025,2025,Netball,2.107,0.685,3.495,8.141,5.525,3.062,2.13,1.156,0.307,0.052,15,-2.81,False
Jan–Dec 2025,2025,Bush walking,17.468,16.302,18.6,14.605,17.332,20.301,21.448,19.691,19.549,9.568,3,-2.298000000000002,False
Jan–Dec 2025,2025,Dancing (recreational),1.629,0.491,2.717,2.626,2.418,1.894,1.703,1.229,1.136,1.321,18,-2.226,False
Jan–Dec 2025,2025,Fitness/Gym,34.102,33.102,35.078,37.322,43.441,42.064,36.393,32.926,29.525,23.683,2,-1.9760000000000062,False
Jan–Dec 2025,2025,Swimming,15.39,14.513,16.263,17.616,16.339,16.584,18.312,16.664,15.991,9.735,5,-1.7500000000000018,False
Jan–Dec 2025,2025,DanceSport,1.123,0.276,1.916,3.709,2.579,1.262,1.05,0.701,0.656,0.356,23,-1.64,False
Jan–Dec 2025,2025,Equestrian,0.442,0.141,0.738,0.546,0.682,0.573,0.445,0.411,0.592,0.103,44,-0.597,False
Jan–Dec 2025,2025,Gymnastics,0.54,0.332,0.742,2.5,1.056,0.726,0.693,0.152,0.16,0.09,41,-0.41,False
Jan–Dec 2025,2025,Crossfit/Functional fitness,0.648,0.547,0.747,0.159,0.493,1.295,1.08,0.634,0.397,0.099,36,-0.19999999999999996,False
Jan–Dec 2025,2025,Martial arts,0.626,0.552,0.703,0.649,0.736,0.514,0.278,0.532,0.477,1.105,38,-0.1509999999999999,False
Jan–Dec 2025,2025,Hockey,0.512,0.507,0.522,1.629,0.985,0.584,0.632,0.45,0.267,0.072,42,-0.015000000000000013,False
Jan–Dec 2025,2025,Underwater sports,0.836,0.836,0.844,0.722,0.679,1.049,1.09,0.817,1.137,0.369,30,-0.008000000000000007,False
Jan–Dec 2025,2025,Skate,0.396,0.386,0.375,1.194,0.663,0.6,0.475,0.429,0.115,0.007,45,0.01100000000000001,True
Jan–Dec 2025,2025,Pickleball/padel,1.314,1.324,1.311,0.904,1.422,1.547,1.367,1.528,1.673,0.717,21,0.013000000000000123,True
Jan–Dec 2025,2025,Virtual based physical activity,0.95,0.966,0.921,3.748,1.745,1.427,0.827,0.697,0.272,0.252,27,0.04499999999999993,True
Jan–Dec 2025,2025,Tenpin bowling,0.629,0.655,0.61,1.064,0.815,0.516,0.685,0.644,0.699,0.434,37,0.04500000000000004,True
Jan–Dec 2025,2025,Canoeing/Kayaking,0.997,1.034,0.959,0.664,0.638,0.972,1.127,1.254,1.476,0.676,25,0.07500000000000007,True
Jan–Dec 2025,2025,Rock climbing/Abseiling/Caving,0.457,0.534,0.36,1.791,0.978,0.604,0.545,0.249,0.159,0.046,43,0.17400000000000004,True
Jan–Dec 2025,2025,Weight lifting,0.982,1.073,0.876,0.77,1.566,1.6,1.094,0.857,0.691,0.382,26,0.19699999999999995,True
Jan–Dec 2025,2025,Rowing,0.585,0.687,0.488,0.952,0.413,0.517,0.512,0.709,0.847,0.457,39,0.19900000000000007,True
Jan–Dec 2025,2025,Billiards/Snooker/Pool,0.304,0.425,0.189,0.425,0.392,0.486,0.274,0.253,0.259,0.166,51,0.236,True
Jan–Dec 2025,2025,Boxing,0.848,0.972,0.728,0.982,1.753,1.571,0.961,0.745,0.319,0.054,29,0.244,True
Jan–Dec 2025,2025,Sport climbing,0.542,0.664,0.411,1.379,1.335,1.255,0.492,0.044,0.119,0.009,40,0.25300000000000006,True
Jan–Dec 2025,2025,Sailing,0.327,0.459,0.202,0.299,0.135,0.166,0.219,0.362,0.687,0.4,49,0.257,True
Jan–Dec 2025,2025,Ski & snowboard,0.812,0.964,0.671,0.269,0.675,0.893,0.817,1.007,1.4,0.404,32,0.2929999999999999,True
Jan–Dec 2025,2025,Baseball,0.309,0.467,0.159,0.715,0.545,0.474,0.396,0.367,0.055,0.015,50,0.30800000000000005,True
Jan–Dec 2025,2025,Squash,0.39,0.569,0.216,0.359,0.344,0.579,0.461,0.435,0.413,0.155,46,0.353,True
Jan–Dec 2025,2025,Calisthenics,0.359,0.557,0.171,1.226,0.688,0.519,0.332,0.251,0.178,0.085,48,0.386,True
Jan–Dec 2025,2025,Touch football,0.712,0.918,0.518,2.335,1.549,1.213,0.562,0.505,0.26,0.064,35,0.4,True
Jan–Dec 2025,2025,Rugby union,0.374,0.603,0.155,1.386,0.913,0.617,0.291,0.18,0.126,0.037,47,0.44799999999999995,True
Jan–Dec 2025,2025,Volleyball (indoor and outdoor),1.307,1.55,1.057,10.113,3.406,1.582,0.677,0.35,0.136,0.06,22,0.4930000000000001,True
Jan–Dec 2025,2025,Bowls,0.834,1.11,0.575,0.147,0.093,0.288,0.238,0.425,1.007,2.494,31,0.5350000000000001,True
Jan–Dec 2025,2025,Badminton,1.886,2.227,1.559,9.07,4.186,2.968,1.727,0.815,0.307,0.149,16,0.6679999999999999,True
Jan–Dec 2025,2025,Surfing,1.385,1.731,1.059,2.218,1.269,1.566,1.818,1.768,1.353,0.511,19,0.6720000000000002,True
Jan–Dec 2025,2025,"Athletics, track and field",1.318,1.739,0.921,5.753,2.925,2.133,1.076,0.598,0.316,0.198,20,0.8180000000000001,True
Jan–Dec 2025,2025,Motor cycling,0.947,1.376,0.521,1.502,0.979,1.41,0.91,0.792,1.113,0.446,28,0.8549999999999999,True
Jan–Dec 2025,2025,Rugby league,0.763,1.209,0.338,3.236,1.689,1.392,0.681,0.369,0.071,0.013,33,0.871,True
Jan–Dec 2025,2025,Mountain biking,0.726,1.182,0.285,1.716,0.485,0.612,0.966,1.211,0.714,0.209,34,0.897,True
Jan–Dec 2025,2025,Fishing (recreational),1.07,1.694,0.466,1.074,0.664,0.927,0.964,1.439,1.553,0.918,24,1.228,True
Jan–Dec 2025,2025,Table tennis,1.79,2.534,1.08,6.543,3.295,2.298,1.613,1.44,0.94,0.508,17,1.4539999999999997,True
Jan–Dec 2025,2025,Tennis,4.941,5.842,4.103,9.45,7.484,6.476,5.281,5.269,3.289,1.915,10,1.7389999999999999,True
Jan–Dec 2025,2025,Australian football,2.417,3.807,1.084,6.035,6.006,4.751,2.073,1.381,0.447,0.075,14,2.723,True
Jan–Dec 2025,2025,Cricket,2.492,4.249,0.796,8.431,4.83,3.543,2.674,1.969,0.991,0.309,13,3.4529999999999994,True
Jan–Dec 2025,2025,Cycling,8.294,10.432,6.252,6.657,5.59,7.121,9.259,11.588,11.952,5.576,6,4.180000000000001,True
Jan–Dec 2025,2025,Basketball,4.526,6.836,2.303,17.279,11.687,6.163,4.837,2.617,0.784,0.21,12,4.533,True
Jan–Dec 2025,2025,Running/jogging,16.525,18.975,14.157,26.574,26.653,27.663,20.854,15.772,8.462,1.838,4,4.818000000000001,True
Jan–Dec 2025,2025,Golf,4.563,7.555,1.685,2.375,2.76,3.539,3.403,4.833,6.889,6.087,11,5.869999999999999,True
Jan–Dec 2025,2025,Football/soccer,5.624,8.871,2.499,17.015,12.326,9.355,6.942,3.278,0.955,0.136,8,6.372,True
